;NorthState Riffle time series inputs,,,
;#   USGS 11372000 CLEAR C NR IGO CA,,,
; DO NOT CHANGE variable names in row 5, including capitalization,,
; Times must be in m/d/yyyy h:mm format!,,,
Date-time,flow,temperature,turbidity
4/1/2010 0:00,7.02,9.8,3
4/1/2010 2:00,7.02,9.8,3
4/1/2010 4:00,7.02,9.8,3
4/1/2010 6:00,7.02,9.8,3
4/1/2010 8:00,7.02,9.8,3
4/1/2010 10:00,7.02,9.8,3
4/1/2010 12:00,7.02,9.8,3
4/1/2010 14:00,7.02,9.8,3
4/1/2010 16:00,7.02,9.8,3
4/1/2010 18:00,7.02,9.8,3
4/1/2010 20:00,7.02,9.8,3
4/1/2010 22:00,7.02,9.8,3
4/2/2010 0:00,7.99,9.2,4
4/2/2010 2:00,7.99,9.2,4
4/2/2010 4:00,7.99,9.2,4
4/2/2010 6:00,7.99,9.2,4
4/2/2010 8:00,7.99,9.2,4
4/2/2010 10:00,7.99,9.2,4
4/2/2010 12:00,7.99,9.2,4
4/2/2010 14:00,7.99,9.2,4
4/2/2010 16:00,7.99,9.2,4
4/2/2010 18:00,7.99,9.2,4
4/2/2010 20:00,7.99,9.2,4
4/2/2010 22:00,7.99,9.2,4
4/3/2010 0:00,7.45,8.9,3
4/3/2010 2:00,7.45,8.9,3
4/3/2010 4:00,7.45,8.9,3
4/3/2010 6:00,7.45,8.9,3
4/3/2010 8:00,7.45,8.9,3
4/3/2010 10:00,7.45,8.9,3
4/3/2010 12:00,7.45,8.9,3
4/3/2010 14:00,7.45,8.9,3
4/3/2010 16:00,7.45,8.9,3
4/3/2010 18:00,7.45,8.9,3
4/3/2010 20:00,7.45,8.9,3
4/3/2010 22:00,7.45,8.9,3
4/4/2010 0:00,8.55,8.9,4
4/4/2010 2:00,8.55,8.9,4
4/4/2010 4:00,8.55,8.9,4
4/4/2010 6:00,8.55,8.9,4
4/4/2010 8:00,8.55,8.9,4
4/4/2010 10:00,8.55,8.9,4
4/4/2010 12:00,8.55,8.9,4
4/4/2010 14:00,8.55,8.9,4
4/4/2010 16:00,8.55,8.9,4
4/4/2010 18:00,8.55,8.9,4
4/4/2010 20:00,8.55,8.9,4
4/4/2010 22:00,8.55,8.9,4
4/5/2010 0:00,8.55,9.1,4
4/5/2010 2:00,8.55,9.1,4
4/5/2010 4:00,8.55,9.1,4
4/5/2010 6:00,8.55,9.1,4
4/5/2010 8:00,8.55,9.1,4
4/5/2010 10:00,8.55,9.1,4
4/5/2010 12:00,8.55,9.1,4
4/5/2010 14:00,8.55,9.1,4
4/5/2010 16:00,8.55,9.1,4
4/5/2010 18:00,8.55,9.1,4
4/5/2010 20:00,8.55,9.1,4
4/5/2010 22:00,8.55,9.1,4
4/6/2010 0:00,7.96,9.8,4
4/6/2010 2:00,7.96,9.8,4
4/6/2010 4:00,7.96,9.8,4
4/6/2010 6:00,7.96,9.8,4
4/6/2010 8:00,7.96,9.8,4
4/6/2010 10:00,7.96,9.8,4
4/6/2010 12:00,7.96,9.8,4
4/6/2010 14:00,7.96,9.8,4
4/6/2010 16:00,7.96,9.8,4
4/6/2010 18:00,7.96,9.8,4
4/6/2010 20:00,7.96,9.8,4
4/6/2010 22:00,7.96,9.8,4
4/7/2010 0:00,7.7,10.7,3
4/7/2010 2:00,7.7,10.7,3
4/7/2010 4:00,7.7,10.7,3
4/7/2010 6:00,7.7,10.7,3
4/7/2010 8:00,7.7,10.7,3
4/7/2010 10:00,7.7,10.7,3
4/7/2010 12:00,7.7,10.7,3
4/7/2010 14:00,7.7,10.7,3
4/7/2010 16:00,7.7,10.7,3
4/7/2010 18:00,7.7,10.7,3
4/7/2010 20:00,7.7,10.7,3
4/7/2010 22:00,7.7,10.7,3
4/8/2010 0:00,7.62,11,3
4/8/2010 2:00,7.62,11,3
4/8/2010 4:00,7.62,11,3
4/8/2010 6:00,7.62,11,3
4/8/2010 8:00,7.62,11,3
4/8/2010 10:00,7.62,11,3
4/8/2010 12:00,7.62,11,3
4/8/2010 14:00,7.62,11,3
4/8/2010 16:00,7.62,11,3
4/8/2010 18:00,7.62,11,3
4/8/2010 20:00,7.62,11,3
4/8/2010 22:00,7.62,11,3
4/9/2010 0:00,7.48,10.6,3
4/9/2010 2:00,7.48,10.6,3
4/9/2010 4:00,7.48,10.6,3
4/9/2010 6:00,7.48,10.6,3
4/9/2010 8:00,7.48,10.6,3
4/9/2010 10:00,7.48,10.6,3
4/9/2010 12:00,7.48,10.6,3
4/9/2010 14:00,7.48,10.6,3
4/9/2010 16:00,7.48,10.6,3
4/9/2010 18:00,7.48,10.6,3
4/9/2010 20:00,7.48,10.6,3
